,name_2,root_1,pitch_class_smaller,cents_diff,matched_pitch_class,n_edo
3,just diatonic,A,B,7.854704151578286,B,17
4,just diatonic,A,C,-33.288345824082015,C,17
7,just diatonic,A,D,-25.433641672503636,D,17
10,just diatonic,A,E,3.9273520757889036,E,17
12,just diatonic,A,F,33.37253739424711,F,17
14,just diatonic,A,G,-29.360993748293033,G,17
0,just diatonic,B,B,0.0,B,17
2,just diatonic,B,C,29.445185318457444,C,17
4,just diatonic,B,D,-33.288345824082015,D,17
7,just diatonic,B,E,-3.927352075789427,E,17
9,just diatonic,B,F,25.517833242668647,F,17
12,just diatonic,B,G,33.37253739424673,G,17
14,just diatonic,B,A,-7.854704151578424,A,17
0,just diatonic,C,C,0.0,C,18
3,just diatonic,C,D,-3.9100017307746735,D,18
6,just diatonic,C,E,13.686286135165219,E,18
7,just diatonic,C,F,-31.378332467945594,F,18
11,just diatonic,C,G,31.378332467946088,G,18
13,just diatonic,C,A,-17.692046332780954,A,18
16,just diatonic,C,B,-21.602048063555554,B,18
0,just diatonic,D,D,0.0,D,18
3,just diatonic,D,E,17.59628786593992,E,18
4,just diatonic,D,F,-27.46833073717085,F,18
7,just diatonic,D,G,-31.37833246794579,G,18
10,just diatonic,D,A,-13.782044602005968,A,18
13,just diatonic,D,B,-17.692046332780563,B,18
15,just diatonic,D,C,3.910001730774752,C,18
0,just diatonic,E,E,0.0,E,18
2,just diatonic,E,F,21.602048063555877,F,18
5,just diatonic,E,G,17.69204633278079,G,18
7,just diatonic,E,A,-31.37833246794579,A,18
11,just diatonic,E,B,31.378332467946088,B,18
12,just diatonic,E,C,-13.686286135165112,C,18
15,just diatonic,E,D,-17.596287865939992,D,18
0,just diatonic,F,F,0.0,F,18
3,just diatonic,F,G,-3.910001730774866,G,18
6,just diatonic,F,A,13.686286135164837,A,18
9,just diatonic,F,B,9.776284404390458,B,18
11,just diatonic,F,C,31.37833246794571,C,18
14,just diatonic,F,D,27.468330737170756,D,18
16,just diatonic,F,E,-21.60204806355614,E,18
0,just diatonic,G,G,0.0,G,18
3,just diatonic,G,A,17.59628786593992,A,18
6,just diatonic,G,B,13.686286135165219,B,18
